team,elo,form,avg_gf,avg_ga,xg,xga,squad_rating
Iran,1764,1.6181818181818182,1.6,0.6,1.6,0.6,78.73913043478261
Korea DPR,1375,0.32727272727272727,1.0,2.1,1.0,2.1,69.0
Qatar,1411,0.4,0.6,1.9,0.6,1.9,73.56521739130434
Mali,1588,0.8909090909090909,1.2,0.9,1.2,0.9,80.04347826086956
Syria,1479,1.3818181818181818,2.0,0.9,2.0,0.9,65.26086956521739
Zimbabwe,1372,1.3272727272727274,1.1,1.3,1.1,1.3,74.34782608695652
Yemen,1195,1.9636363636363636,2.8,1.0,2.8,1.0,65.0
Tajikistan,1285,2.3454545454545452,2.2,1.1,2.2,1.1,65.0
Angola,1542,1.4,1.4,1.1,1.4,1.1,75.69565217391305
Gambia,1419,1.1818181818181819,2.2,1.6,2.2,1.6,74.82608695652173
Egypt,1747,1.2727272727272727,,,,,81.52173913043478
Tanzania,1313,0.7818181818181819,1.2,1.4,1.2,1.4,65.78260869565217
Côte d'Ivoire,1727,1.8545454545454545,2.0,1.0,2.0,1.0,82.78260869565217
Ghana,1570,0.6363636363636364,,,,,81.3913043478261
Malawi,1239,1.0545454545454545,0.9,0.9,0.9,0.9,65.0
Bahrain,1414,0.8545454545454545,0.9,1.7,0.9,1.7,65.0
Hong Kong,1101,1.3454545454545455,1.9,1.1,1.9,1.1,63.47826086956522
Benin,1405,1.2,0.6,2.0,0.6,2.0,72.34782608695652
Libya,1420,1.4727272727272727,1.1,0.9,1.1,0.9,74.0
China,1424,1.4363636363636363,0.8,1.2,0.8,1.2,71.8695652173913
Gabon,1401,0.6545454545454545,1.8,1.9,1.8,1.9,79.43478260869566
Mozambique,1342,0.6909090909090909,1.0,1.5,1.0,1.5,75.6086956521739
Indonesia,1372,1.709090909090909,1.7,1.1,1.7,1.1,58.666666666666664
Oman,1479,1.018181818181818,0.7,1.1,0.7,1.1,65.0
Kuwait,1332,0.9818181818181818,1.5,2.2,1.5,2.2,65.0
Australia,1795,1.0363636363636364,,,,,76.34782608695652
Lebanon,1288,1.7454545454545454,2.1,0.5,2.1,0.5,62.666666666666664
Vietnam,1351,2.672727272727273,2.4,1.0,2.4,1.0,65.33333333333333
Singapore,1134,1.5818181818181818,1.9,1.3,1.9,1.3,54.333333333333336
Thailand,1376,1.981818181818182,2.3,0.9,2.3,0.9,60.666666666666664
Jordan,1628,0.32727272727272727,1.2,2.1,1.2,2.1,61.94117647058823
United Arab Emirates,1540,0.9636363636363636,1.2,1.4,1.2,1.4,71.17391304347827
Malaysia,1293,2.6363636363636362,1.9,0.6,1.9,0.6,63.0
Japan,1888,1.8727272727272728,1.9,0.7,1.9,0.7,79.65217391304348
Rwanda,1336,1.4,0.8,1.2,0.8,1.2,65.0
Kenya,1363,1.4363636363636363,1.4,1.7,1.4,1.7,73.0
Cameroon,1614,1.6545454545454545,1.0,0.7,1.0,0.7,82.56521739130434
Tunisia,1562,0.4,0.7,2.3,0.7,2.3,76.73913043478261
Zambia,1371,0.43636363636363634,0.5,2.3,0.5,2.3,75.04347826086956
Korea Republic,1723,1.4727272727272727,1.3,0.8,1.3,0.8,82.43478260869566
Burkina Faso,1529,1.309090909090909,1.8,1.3,1.8,1.3,77.47826086956522
Algeria,1756,1.490909090909091,1.8,1.1,1.8,1.1,83.0
Nigeria,1767,1.6545454545454545,1.8,0.7,1.8,0.7,82.3913043478261
Finland,1536,1.018181818181818,1.1,1.7,1.1,1.7,77.82608695652173
Chile,1717,1.8,1.4,1.6,1.4,1.6,79.08695652173913
Panama,1658,0.7454545454545455,1.1,1.7,1.1,1.7,72.78260869565217
